"","richness","Dispersal","Day","Salinity_Measured","lower","upper"
"1862",4.53762159104873,2,0,7.75,3.94973546901342,5.28905348459044
"1863",4.6923271860802,3,9,7.75,4.07021544927397,5.1853416887438
"1864",4.47449904377657,2,9,7.75,3.94661208256679,5.04153290873353
"1865",4.62705253973153,3,18,7.75,4.07760561521038,5.08502600655645
"1866",4.41225458999329,2,18,7.75,3.92650290556357,4.893516819439
"1867",4.56268592457654,3,27,7.75,3.99931700317378,5.06548375369423
"1868",4.35087601459972,2,27,7.75,3.8736921444346,4.80583811155648
"1869",4.49921470905468,3,36,7.75,3.93177187481287,5.07135249820322
"1870",4.2903512724201,2,36,7.75,3.76712871778359,4.8244473835735
"1871",4.43662643732216,3,45,7.75,3.77337078470857,5.13159171160949
"1872",4.23066848583831,2,45,7.75,3.61100892327844,4.87094481905146
"1873",4.75170632451433,3,0,7.8,4.04666496030116,5.34690308936381
"1874",4.53262701214395,2,0,7.8,3.94381120974699,5.28642361231438
"1875",4.68591406278943,3,9,7.8,4.0693009346606,5.18454661840934
"1876",4.46986812884643,2,9,7.8,3.94072262867304,5.03945117617115
"1877",4.62103276260283,3,18,7.8,4.06875592267849,5.07756679042236
"1878",4.4079782068427,2,18,7.8,3.92202679815202,4.89257054665794
"1879",4.55704981075499,3,27,7.8,3.99093654576176,5.05782033635085
"1880",4.34694521446983,2,27,7.8,3.86778015178355,4.80177745215899
"1881",4.49395276868911,3,36,7.8,3.92803585431178,5.06740328237164
"1882",4.28675728665562,2,36,7.8,3.76100339523325,4.82187344718772
"1883",4.43172937007301,3,45,7.8,3.76408834075883,5.12983509137417
"1884",4.22740272261202,2,45,7.8,3.60384470501262,4.87404986570918
"1885",4.7448997397332,3,0,7.85,4.03708991532115,5.34172499895353
"1886",4.5276379307929,2,0,7.85,3.93789597616786,5.28379504770461
"1887",4.6795097044779,3,9,7.85,4.06838692880601,5.17406051826908
"1888",4.46524200671497,2,9,7.85,3.93484209915885,5.03731297489654
"1889",4.61502081718046,3,18,7.85,4.06119100457433,5.07157739476573
"1890",4.40370596838786,2,18,7.85,3.91755581883357,4.89162452149178
"1891",4.55142065901225,3,27,7.85,3.98257366383184,5.05130844577753
"1892",4.34301796562239,2,27,7.85,3.86187718205718,4.79772022588172
"1893",4.48869698229,3,36,7.85,3.92430338570242,5.06860661820318
"1894",4.28316631153825,2,36,7.85,3.75488805833221,4.81930088643287
"1895",4.42683770811727,3,45,7.85,3.75482876365644,5.1248346182935
"1896",4.22413948031346,2,45,7.85,3.59670189318181,4.87715689173238
"1897",4.73810290504882,3,0,7.9,4.02753757131411,5.33755529758737
"1898",4.52265434094438,2,0,7.9,3.93198975447977,5.28116779011091
"1899",4.67311409916629,3,9,7.9,4.06210160192206,5.17223694586287
"1900",4.46062067242185,2,9,7.9,3.93212497939214,5.03511793077332
"1901",4.60901669327541,3,18,7.9,4.05452273726121,5.06945359078187
"1902",4.39943787061171,2,18,7.9,3.91308996171683,4.88746734953057
"1903",4.54579846074833,3,27,7.9,3.97675155129333,5.05098814611194
"1904",4.339094264849,2,27,7.9,3.85598322148447,4.7972313548709
"1905",4.48344734266014,3,36,7.9,3.91968732989049,5.06062395952094
"1906",4.279578344546,2,36,7.9,3.74878269074647,4.81958785961407
"1907",4.42195144548868,3,45,7.9,3.74559199697299,5.1258827803652
"1908",4.22087875699664,2,45,7.9,3.58966401128828,4.88026589838282
"1909",4.73131580649465,3,0,7.95,4.01800787432464,5.33338890158567
"1910",4.51767623655387,2,0,7.95,3.92609253090758,5.27854183888338
"1911",4.66672723489163,3,9,7.95,4.05454468030245,5.17070285760856
"1912",4.45600412101185,2,9,7.95,3.93069930428329,5.0329239340237
"1913",4.60302038071191,3,18,7.95,4.04786544951091,5.06732416365481
"1914",4.39517390950108,2,18,7.95,3.90862922091716,4.88308677407126
"1915",4.54018320737386,3,27,7.95,3.97270028163385,5.05066792974564
"1916",4.33517410894415,2,27,7.95,3.85009825631546,4.79380114216799
"1917",4.47820384261073,3,36,7.95,3.91188498043706,5.05612514003135
"1918",4.275993383159,2,36,7.95,3.74268727616885,4.82106120640821
"1919",4.41707057622755,3,45,7.95,3.73640027120138,5.12448399323836
"1920",4.21762055071711,2,45,7.95,3.58363084265773,4.88337688692312
"1921",4.72453843012418,3,0,8,4.00850077052597,5.32922580831928
"1922",4.51270361158352,2,0,8,3.92020429169722,5.27591719337243
"1923",4.66034909970734,3,9,8,4.04620555898472,5.16905387198919
"1924",4.4513923475349,2,9,8,3.92927428148678,5.03073098403797
"1925",4.59703186932744,3,18,8,4.04121912317886,5.06513142514647
"1926",4.39091408104669,2,18,8,3.90417359055672,4.8787097685897
"1927",4.53457489031008,3,27,8,3.96871737892478,5.05034779662263
"1928",4.33125749470523,2,27,8,3.84422227282116,4.78858804105846
"1929",4.47296647496138,3,36,8,3.90409830082102,5.05249054367182
"1930",4.27241142485948,2,36,8,3.736601798319,4.81843752542813
"1931",4.41219509438079,3,45,8,3.72724688565625,5.12167967495968
"1932",4.21436485953189,2,45,8,3.57762058505176,4.88492668814268
"1933",4.71777076201084,3,0,8.05,3.99901620621969,5.32506601516117
"1934",4.50773646000209,2,0,8.05,3.91432502311566,5.2732938529288
"1935",4.65397968168315,3,9,8.05,4.03650513084825,5.16740547914262
"1936",4.44678534704604,2,9,8.05,3.92784991051498,5.02853908020688
"1937",4.59105114897269,3,18,8.05,4.03458374015061,5.06293989941313
"1938",4.38665838124313,2,18,8.05,3.89965252907194,4.87667085822552
"1939",4.52897350098883,3,27,8.05,3.96473846962497,5.05002774668697
"1940",4.32734441893252,2,27,8.05,3.83835525729352,4.78304308352849
"1941",4.46773523254011,3,36,8.05,3.89916729846929,5.04882581573114
"1942",4.26883246713179,2,36,8.05,3.73057950678517,4.81531927469873
"1943",4.40732499400187,3,45,8.05,3.71811592701759,5.11852606644244
"1944",4.21111168149951,2,45,8.05,3.57162040819339,4.88337732087872
"1945",4.71101278824805,3,0,8.1,3.98967268845982,5.32090951948637
"1946",4.50277477578501,2,0,8.1,3.90845471145087,5.27066084168843
"1947",4.64761896890509,3,9,8.1,4.0268279810241,5.16575767879091
"1948",4.44218311460544,2,9,8.1,3.92642619088078,5.02229491329085
"1949",4.58507820951156,3,18,8.1,4.02798208002306,5.06074958533601
"1950",4.38240680608891,2,18,8.1,3.89348384613659,4.87463283743601
"1951",4.52337903085253,3,27,8.1,3.95806479134807,5.04970777988279
"1952",4.32343487842919,2,27,8.1,3.83252951298319,4.77951342367113
"1953",4.4625101081833,3,36,8.1,3.89559608473509,5.0450496922232
"1954",4.26525650746236,2,36,8.1,3.72463390330852,4.81218665282224
"1955",4.40246026915081,3,45,8.1,3.70898872473296,5.11537440560808
"1956",4.20786101468001,2,45,8.1,3.56563029517338,4.88182855915303
"1957",4.70426449494912,3,0,8.15,3.98036136008034,5.31668817641578
"1958",4.49781855291432,2,0,8.15,3.90259334301179,5.26797319931494
"1959",4.64126694947548,3,9,8.15,4.01717405360742,5.16155956597379
"1960",4.43758564527836,2,9,8.15,3.92365568627692,5.0160090932036
"1961",4.57911304082114,3,18,8.15,4.01952249355005,5.0545853188742
"1962",4.37815935158638,2,18,8.15,3.88732501038409,4.87031175180083
"1963",4.51779147135416,3,27,8.15,3.95090995394819,5.048451840914
"1964",4.31952887000131,2,27,8.15,3.82675257658423,4.77869443842039
"1965",4.45729109473575,3,36,8.15,3.88693550166108,5.04127639357029
"1966",4.26168354333977,2,36,8.15,3.71869782845747,4.81417638368815
"1967",4.39760091389422,3,45,8.15,3.69913716714258,5.1122246912513
"1968",4.20461285713492,2,45,8.15,3.55965022911089,4.88028040280727
"1969",4.69752586824727,3,0,8.2,3.9710718001801,5.31231175788801
"1970",4.49286778537871,2,0,8.2,3.89972633373594,5.26528696198102
"1971",4.63492361151289,3,9,8.2,4.00754329282769,5.15634544629216
"1972",4.43299293413519,2,9,8.2,3.91995083682917,5.0097312307169
"1973",4.5731556327917,3,18,8.2,4.0096857492959,5.04539655753032
